"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"3065",1,1,19.23076923,26,17025,12043,6,0.085106383,2,1,81.81818182,179972,9,1,1,24.8793950312396
"3066",11,0,29.62962963,27,17459,3158,0,0,1,11,0,243406,8,0,1,24.8793950312396
"3067",1,1,30.3030303,33,11573,1229,314,0.638297872,1,1,90.90909091,1262660,7,1,1,24.8793950312396
"3068",1,1,37.5,24,11312,563,99,0.723404255,1,1,90.90909091,2741058,7,1,1,24.8793950312396
"3069",1,1,37.5,24,11312,563,99,0.723404255,1,1,90.90909091,2741058,7,1,1,24.8328505484035
"3070",6,0,15.38461538,26,12894,6398,36,0.319148936,3,6,72.72727273,330440,9,1,0,24.8793950312396
"3071",6,0,15.38461538,26,16712,744,36,0.319148936,2,6,72.72727273,330440,9,1,0,24.8793950312396
"3072",1,1,60,15,9685,910,72,0.234042553,2,1,81.81818182,1303857,4,1,1,24.8793950312396
"3073",5,1,47.82608696,23,10126,151,106,0.574468085,1,5,90.90909091,4779027,6,1,1,24.8793950312396
"3074",2,1,70,20,11306,1114,66,0.276595745,2,2,81.81818182,1035130,3,1,1,24.8328505484035
"3075",2,1,46.15384615,26,12175,89,634,0.978723404,1,2,90.90909091,11360308,6,1,1,24.8793950312396
"3076",6,1,47.05882353,17,10179,4864,104,0.191489362,2,6,81.81818182,172868,6,1,1,24.8793950312396
"3077",3,1,56.52173913,23,12478,1758,69,0.531914894,2,3,81.81818182,267531,5,1,1,24.8328505484035
"3078",11,0,20.68965517,29,15851,NA,2,0.042553191,1,11,0,174774,8,0,1,24.8793950312396
